小菊(白),0,商物分離,250,0,250,0,0,0,200902
小菊(黄),88160,せり・入札,9155,1950,3940,980,600,1685,200902
小菊(黄),0,相対,78505,12210,50965,7050,5830,2450,200902
小菊(黄),0,第三者等,250,250,0,0,0,0,200902
小菊(黄),0,商物分離,250,0,250,0,0,0,200902
小菊(赤),103900,せり・入札,12410,4730,4870,1250,820,740,200902
小菊(赤),0,相対,90240,7260,67520,4940,7270,3250,200902
小菊(赤),0,第三者等,700,700,0,0,0,0,200902
小菊(赤),0,商物分離,550,0,550,0,0,0,200902
カーネーション(白),39433,せり・入札,6850,150,4950,500,0,1250,200902
カーネーション(白),0,相対,32233,2280,25423,200,1780,2550,200902
カーネーション(白),0,第三者等,350,350,0,0,0,0,200902
カーネーション(赤),63680,せり・入札,17160,5100,7450,750,560,3300,200902
カーネーション(赤),0,相対,46370,5947,24813,6000,7240,2370,200902
カーネーション(赤),0,第三者等,150,150,0,0,0,0,200902
カーネーション(ピ),64206,せり・入札,15385,1390,9640,1150,845,2360,200902
カーネーション(ピ),0,相対,47171,3254,31302,4450,3385,4780,200902
カーネーション(ピ),0,第三者等,1650,1650,0,0,0,0,200902
スプレーカーネ(ピ),67115,せり・入札,9569,1200,4769,200,1200,2200,200902
スプレーカーネ(ピ),0,相対,56546,2775,43296,5050,2750,2675,200902
スプレーカーネ(ピ),0,第三者等,1000,1000,0,0,0,0,200902
スプレーカーネ(複),50876,せり・入札,10395,1435,5560,0,1400,2000,200902
スプレーカーネ(複),0,相対,39831,2071,31310,2250,1650,2550,200902
スプレーカーネ(複),0,第三者等,650,600,0,0,0,50,200902
バラ(白),37965,せり・入札,7725,560,4520,760,690,1195,200902
バラ(白),0,相対,29720,570,18735,1010,1820,7585,200902
バラ(白),0,第三者等,280,280,0,0,0,0,200902
バラ(白),0,商物分離,240,0,210,0,0,30,200902
バラ(黄),22368,せり・入札,6070,150,1600,1325,915,2080,200902
バラ(黄),0,相対,15838,720,10773,1370,945,2030,200902
バラ(黄),0,第三者等,430,400,0,0,30,0,200902
バラ(黄),0,商物分離,30,0,0,0,0,30,200902
バラ(赤),45677,せり・入札,10775,770,4570,1140,1130,3165,200902
バラ(赤),0,相対,33912,1160,22232,2230,2860,5430,200902
バラ(赤),0,第三者等,840,840,0,0,0,0,200902
バラ(赤),0,商物分離,150,0,150,0,0,0,200902
バラ(ピ),82620,せり・入札,20044,1030,7754,3440,2580,5240,200902
バラ(ピ),0,相対,60741,1740,37526,4390,4970,12115,200902
バラ(ピ),0,第三者等,1795,1580,215,0,0,0,200902
バラ(ピ),0,商物分離,40,0,0,0,0,40,200902
スプレーバラ,66858,せり・入札,13415,670,6130,655,250,5710,200902
スプレーバラ,0,相対,52633,1570,36315,4880,1540,8328,200902
スプレーバラ,0,第三者等,680,680,0,0,0,0,200902
スプレーバラ,0,商物分離,130,0,130,0,0,0,200902
鉄砲ゆり,23085,せり・入札,4555,530,2180,100,550,1195,200902
鉄砲ゆり,0,相対,18170,1210,14650,380,1070,860,200902
鉄砲ゆり,0,第三者等,360,360,0,0,0,0,200902
すかしゆり,14710,せり・入札,1320,500,720,0,100,0,200902
すかしゆり,0,相対,13200,1340,11560,0,300,0,200902
すかしゆり,0,第三者等,190,190,0,0,0,0,200902
ハイブリッド,80951,せり・入札,23640,3915,11680,2780,1845,3420,200902
ハイブリッド,0,相対,56865,2815,38370,5255,2620,7805,200902
ハイブリッド,0,第三者等,446,446,0,0,0,0,200902
シニュアータ系,77550,せり・入札,19360,2330,16040,690,0,300,200902
シニュアータ系,0,相対,56830,5930,31550,7750,4110,7490,200902
シニュアータ系,0,第三者等,1360,1260,100,0,0,0,200902
その他スターチス,34960,せり・入札,3150,550,1990,340,40,230,200902
その他スターチス,0,相対,31210,2810,19610,3535,640,4615,200902
その他スターチス,0,第三者等,600,500,100,0,0,0,200902
トルコキキョウ(白),26400,せり・入札,7170,0,6280,740,150,0,200902
