その他の切葉,53410,せり・入札,24700,4185,12885,1780,210,5640,200104
その他の切葉,0,相対,28710,3460,14820,1515,1335,7580,200104
桜,171,相対,171,0,150,21,0,0,200104
その他の切枝,33373,せり・入札,16775,3924,9331,89,85,3346,200104
その他の切枝,0,相対,16438,1510,11703,240,235,2750,200104
その他の切枝,0,第三者等,160,0,0,0,0,160,200104
輪菊(白),5505,せり・入札,250,0,200,50,0,0,200106
輪菊(白),0,相対,5255,1400,1440,2415,0,0,200106
輪菊(白)精興の誠,71990,せり・入札,1200,500,640,0,60,0,200106
輪菊(白)精興の誠,0,相対,70790,9540,34140,3920,14190,9000,200106
輪菊(白)神馬,155050,せり・入札,4200,300,1840,1140,0,920,200106
輪菊(白)神馬,0,相対,150850,26640,69740,20680,22750,11040,200106
輪菊(黄),83665,せり・入札,5345,0,1880,2195,100,1170,200106
輪菊(黄),0,相対,78320,13520,39650,10290,12450,2410,200106
輪菊(赤),22700,せり・入札,3770,500,1080,1360,0,830,200106
輪菊(赤),0,相対,18930,5220,9620,1790,2000,300,200106
スプレー菊(白),88220,せり・入札,1140,0,840,0,0,300,200106
スプレー菊(白),0,相対,86720,9420,53480,5470,5910,12440,200106
スプレー菊(白),0,第三者等,360,0,0,0,0,360,200106
スプレー菊(黄),35690,せり・入札,1500,400,780,160,0,160,200106
スプレー菊(黄),0,相対,34190,3160,21010,2190,4420,3410,200106
スプレー菊(ピ),49875,せり・入札,4220,140,3120,300,0,660,200106
スプレー菊(ピ),0,相対,45445,4380,33265,3350,800,3650,200106
スプレー菊(ピ),0,第三者等,210,0,0,0,0,210,200106
小菊(白),50810,せり・入札,9210,110,2700,3900,1800,700,200106
小菊(白),0,相対,41600,7650,25900,1400,5450,1200,200106
小菊(黄),40690,せり・入札,1920,300,720,200,200,500,200106
小菊(黄),0,相対,38770,5050,26240,4180,3100,200,200106
小菊(赤),56180,せり・入札,9590,200,1410,7230,0,750,200106
小菊(赤),0,相対,46590,8410,27040,5940,3600,1600,200106
カーネーション(白),43667,せり・入札,200,0,0,0,0,200,200106
カーネーション(白),0,相対,43467,5565,29337,700,2495,5370,200106
カーネーション(赤),57961,せり・入札,8690,0,6840,600,0,1250,200106
カーネーション(赤),0,相対,49271,6373,22678,8100,9180,2940,200106
カーネーション(ピ),62215,せり・入札,1700,50,1400,50,0,200,200106
カーネーション(ピ),0,相対,60465,7099,35061,7190,5495,5620,200106
カーネーション(ピ),0,第三者等,50,0,0,0,0,50,200106
スプレーカーネ(ピ),79905,せり・入札,2810,200,1210,500,200,700,200106
スプレーカーネ(ピ),0,相対,77095,5140,53910,5200,7295,5550,200106
スプレーカーネ(複),55746,せり・入札,6700,100,4745,100,715,1040,200106
スプレーカーネ(複),0,相対,49046,5621,32005,5750,3880,1790,200106
バラ(白),32635,せり・入札,2640,170,1200,590,170,510,200106
バラ(白),0,相対,29930,2200,18120,1050,1490,7070,200106
バラ(白),0,第三者等,65,0,0,0,0,65,200106
バラ(黄),25294,せり・入札,1360,0,550,630,110,70,200106
バラ(黄),0,相対,23934,2190,10345,2605,6070,2724,200106
バラ(赤),59371,せり・入札,10095,1790,2675,780,1640,3210,200106
バラ(赤),0,相対,49276,4675,25590,4015,7060,7936,200106
バラ(ピ),91485,せり・入札,12892,2145,3514,3730,1185,2318,200106
バラ(ピ),0,相対,78593,4770,46415,6670,7475,13263,200106
スプレーバラ,74287,せり・入札,14805,1215,5490,1065,1470,5565,200106
スプレーバラ,0,相対,59412,4830,35474,3940,2890,12278,200106
スプレーバラ,0,第三者等,70,0,0,0,0,70,200106
鉄砲ゆり,13365,せり・入札,3000,540,960,100,580,820,200106
鉄砲ゆり,0,相対,10365,640,6640,670,795,1620,200106
すかしゆり,17270,せり・入札,3560,80,2750,510,40,180,200106
すかしゆり,0,相対,13710,2060,9970,320,1300,60,200106
ハイブリッド,76239,せり・入札,9620,1010,3895,2150,1060,1505,200106
ハイブリッド,0,相対,66019,7185,34412,7585,5627,11210,200106
ハイブリッド,0,第三者等,600,0,0,0,0,600,200106
ストック(白),31485,せり・入札,5055,80,3885,630,460,0,200106
ストック(白),0,相対,26430,4770,13900,2460,3970,1330,200106
ストック(ピ),33424,せり・入札,5084,120,4030,624,270,40,200106
ストック(ピ),0,相対,28340,4605,16995,2770,3680,290,200106
シニュアータ系,53260,せり・入札,1730,0,1730,0,0,0,200106
シニュアータ系,0,相対,51530,4750,41240,870,4500,170,200106
フリージア(白),9010,せり・入札,2200,0,1250,0,250,700,200106
フリージア(白),0,相対,6810,960,4150,300,350,1050,200106
フリージア(黄),59315,せり・入札,24280,1100,15120,1480,1300,5280,200106
フリージア(黄),0,相対,35035,5410,19950,3475,2700,3500,200106
カトレア,9303,せり・入札,1426,153,770,121,120,262,200106
カトレア,0,相対,7877,1461,3502,1304,1040,570,200106
デンファレ,105445,せり・入札,26640,5140,12880,4150,890,3580,200106
デンファレ,0,相対,78765,11910,42940,8000,9055,6860,200106
デンファレ,0,第三者等,40,0,0,0,0,40,200106
宿根かすみ草,80287,せり・入札,2844,290,1200,1194,0,160,200106
宿根かすみ草,0,相対,77393,9520,51250,6748,3885,5990,200106
宿根かすみ草,0,第三者等,50,0,0,0,0,50,200106
アイリス,18600,せり・入札,3400,0,1700,1180,0,520,200106
